"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED502","0603","15mm","58.8mm","15mm","58.8mm","15mm","57.95mm","T","270.00","Red LED"
"LED501","0603","13.4mm","58.8mm","13.4mm","58.8mm","13.4mm","57.95mm","T","270.00","Yellow LED"
"LED500","0603","11.8mm","58.8mm","11.8mm","58.8mm","11.8mm","57.95mm","T","270.00","Green LED"
"L400","WE-HCF_2818","34mm","50.7725mm","34mm","54.2mm","28.925mm","39.735mm","T","90.00","33µH"
"J502","HEADER_2.54mm_2pin","12mm","52mm","12mm","52mm","10.73mm","52mm","T","360.00","USART"
"J501","HEADER_2.54mm_2pin","5.2mm","16mm","5.2mm","16mm","3.93mm","16mm","T","360.00","USART"
"J500","Header_2.54_5p","3.2mm","47mm","3.2mm","47mm","3.2mm","52.08mm","T","270.00","STM_SWD"
"J400","Nano-Fit_2p_RA","23.2mm","6.79mm","23.2mm","3.2mm","24.45mm","10.38mm","T","0.00","105313-1102"
"J302","Header_2.54_3p","13mm","16mm","13mm","16mm","10.46mm","16mm","T","360.00","Supply voltages test pins"
"J301","Nano-Fit_4p_RA","15.5mm","8.04mm","15.5mm","3.2mm","16.75mm","12.88mm","T","0.00","105314-1204"
"J300","Nano-Fit_4p_RA","5mm","8.04mm","5mm","3.2mm","6.25mm","12.88mm","T","0.00","105314-1204"
"IC500","SO-8","4.4mm","25mm","4.4mm","25mm","6.305mm","27.6mm","T","270.00","ISO7241D"
"IC400","TQFP48_-_PowerPad","34.8mm","23.6mm","34.8mm","23.6mm","38.9mm","26.35mm","B","180.00","LM5170"
"IC301","SOT-23-5","10.2485mm","11.2mm","10.2485mm","11.2mm","9.2985mm","9.905mm","T","90.00","MCP1804T-5002I"
"IC300","DUB_(P-DSO-G8)","12.6mm","25mm","12.6mm","25mm","16.41mm","29.8mm","T","270.00","ISO1050DUB"
"D401","PowerDI5","44.2075mm","33mm","46.2mm","33mm","42.215mm","33.92mm","B","90.00","SDT5H100P5-7"
"D400","SUB-SMA","31.6mm","16.8mm","31.6mm","16.8mm","33mm","16.8mm","B","180.00","SS110L"
"C503","C0603","3.4mm","55.6mm","3.4mm","55.6mm","2.55mm","55.6mm","T","360.00","100nF"
"C502","C0603","5.4mm","20.4mm","5.4mm","20.4mm","4.55mm","20.4mm","T","360.00","100nF"
"C501","C0603","5.4mm","29.6mm","5.4mm","29.6mm","4.55mm","29.6mm","T","360.00","100nF"
"C500","C0603","6.2mm","49.8mm","6.2mm","49.8mm","5.35mm","49.8mm","T","360.00","100nF"
"C419","C0603","12.2mm","35.2mm","12.2mm","35.2mm","12.2mm","34.35mm","T","90.00","8.2 nF"
"C414","C0603","6.3619mm","34.8149mm","6.3619mm","34.8149mm","5.5119mm","34.8149mm","T","360.00","1.8nF"
